Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number Trades,Taker Base Asset Volume,Take Quote Asset Volume,Ignore
1516406400000,0.0013024,0.0013142,0.001297,0.0012997,50175.56,1516408199999,65.41813,2002,26219.19,34.21955394,0
1516408200000,0.0012997,0.001308,0.001297,0.0013021,37485.29,1516409999999,48.80444036,1569,13505.15,17.58525509,0
1516410000000,0.001302,0.0013021,0.0012908,0.0012988,37837.64,1516411799999,49.07559665,1683,12890.88,16.73028725,0
1516411800000,0.0012976,0.001308,0.0012926,0.001306,35563.4,1516413599999,46.19358318,1845,18366.24,23.86569963,0
1516413600000,0.001305,0.0013147,0.0013002,0.0013022,65733.07,1516415399999,85.91536883,2563,33753.51,44.14144292,0
1516415400000,0.001305,0.0013114,0.0012958,0.0013015,64044.95,1516417199999,83.47082854,2145,40333.44,52.60073961,0
1516417200000,0.0013015,0.001306,0.0012955,0.0012993,42968.66,1516418999999,55.83753951,1659,24534.45,31.8739818,0
1516419000000,0.0012993,0.001301,0.001294,0.0012971,45055.18,1516420799999,58.44773243,1260,27187.9,35.28733936,0
1516420800000,0.0012971,0.001302,0.0012925,0.0012947,47013.94,1516422599999,60.98883006,1735,25950.55,33.66986273,0
1516422600000,0.0012947,0.0012974,0.0012601,0.0012613,95404.2,1516424399999,122.37494251,2697,31047.89,39.78643997,0
1516424400000,0.0012644,0.0012875,0.00125,0.0012652,152599.56,1516426199999,193.03656506,4208,62191.55,78.80956152,0
1516426200000,0.001268,0.0012705,0.0012517,0.0012685,90794.52,1516427999999,114.52120624,2845,46136.95,58.22702805,0
1516428000000,0.0012685,0.001283,0.0012652,0.0012782,74567.89,1516429799999,95.2267793,2399,36486.19,46.59799219,0
1516429800000,0.0012778,0.00128,0.0012689,0.0012774,37617.54,1516431599999,47.99189988,1760,18115.72,23.12521583,0
1516431600000,0.0012774,0.0012799,0.0012734,0.0012775,40513.38,1516433399999,51.7321682,1675,25437.35,32.48360011,0
1516433400000,0.0012799,0.0012809,0.0012757,0.0012789,38205.83,1516435199999,48.83056265,1472,17989.52,23.00456469,0
1516435200000,0.0012789,0.0012838,0.0012757,0.0012767,44246.01,1516436999999,56.64017734,1639,23236.29,29.75887557,0
1516437000000,0.0012767,0.001278,0.00124,0.001263,71864.66,1516438799999,90.66523085,2489,30979.44,39.20657422,0
1516438800000,0.001263,0.001265,0.0012496,0.0012499,63809.45,1516440599999,80.28932094,2181,37354.61,47.02709048,0
1516440600000,0.0012496,0.0012598,0.0012476,0.0012522,42926.38,1516442399999,53.77926781,1734,20943.72,26.24387919,0
1516442400000,0.0012554,0.00126,0.001251,0.0012528,36995.46,1516444199999,46.45350369,1537,20140.01,25.29915988,0
1516444200000,0.0012521,0.0012542,0.00125,0.0012508,53106.88,1516445999999,66.44959949,1602,18904.53,23.66636677,0
1516446000000,0.001251,0.0012618,0.00125,0.0012605,38536.99,1516447799999,48.4155559,1642,18261.96,22.93767289,0
1516447800000,0.0012608,0.0012671,0.0012521,0.0012615,39824.92,1516449599999,50.19853308,1773,22573.67,28.46290912,0
1516449600000,0.0012609,0.0012799,0.0012522,0.0012691,44758.21,1516451399999,56.54462718,1793,28967.15,36.6494881,0
1516451400000,0.0012689,0.0012804,0.0012668,0.0012668,45666.29,1516453199999,58.16323825,1900,14723.85,18.75241853,0
1516453200000,0.0012672,0.00127,0.001255,0.0012609,35143.75,1516454999999,44.31317771,1622,17349.67,21.88711982,0
1516455000000,0.0012608,0.0012608,0.0012504,0.0012542,52643.28,1516456799999,66.03165126,1718,30497.33,38.26099746,0
1516456800000,0.0012542,0.001262,0.00125,0.0012516,44207.14,1516458599999,55.47406741,1667,18492.03,23.24233592,0
1516458600000,0.0012516,0.0012575,0.00125,0.0012557,34845.34,1516460399999,43.68023274,1786,21651.44,27.15222187,0
1516460400000,0.001255,0.0012646,0.0012505,0.0012615,40945.59,1516462199999,51.46329944,1810,20265.72,25.47737608,0
1516462200000,0.0012615,0.001265,0.00125,0.0012584,60488.03,1516463999999,76.04764881,2259,27955.02,35.18013217,0
1516464000000,0.0012584,0.0012845,0.0012561,0.001283,72500.56,1516465799999,92.18446188,2740,44224.26,56.23402309,0
1516465800000,0.0012845,0.0012896,0.001264,0.0012889,122657.57,1516467599999,157.02166833,3602,57014.45,72.98758017,0
1516467600000,0.0012889,0.00129,0.0012708,0.0012711,108541.1,1516469399999,139.36320535,3017,54431.13,69.91955096,0
1516469400000,0.0012712,0.0012779,0.0012665,0.0012699,129081.0,1516471199999,164.19941881,2339,73030.55,92.89435086,0
1516471200000,0.0012693,0.0012754,0.001265,0.0012707,147542.62,1516472999999,187.60923827,2223,84691.19,107.73674556,0
1516473000000,0.0012693,0.001282,0.0012653,0.0012738,163175.14,1516474799999,207.58601423,2483,91240.38,116.08528211,0
1516474800000,0.0012738,0.0012778,0.0012667,0.0012721,184477.93,1516476599999,234.94588282,2385,92472.85,117.80055407,0
1516476600000,0.0012726,0.0012837,0.001271,0.0012789,249720.23,1516478399999,318.58279065,2203,95832.59,122.28713352,0
1516478400000,0.0012789,0.001281,0.0012679,0.001271,220176.03,1516480199999,280.21427491,2578,82829.66,105.51782151,0
1516480200000,0.0012705,0.0012739,0.0012657,0.0012677,348435.03,1516481999999,442.04705415,2008,133061.35,168.93086669,0
1516482000000,0.0012694,0.00127,0.00126,0.0012618,344440.23,1516483799999,436.07135362,2030,171338.21,217.04120677,0
1516483800000,0.001261,0.0012649,0.001257,0.0012591,162293.31,1516485599999,204.49470796,1713,86918.24,109.55279927,0
1516485600000,0.00126,0.0012695,0.0012588,0.0012676,215809.05,1516487399999,273.06094061,1825,127510.97,161.43382175,0
1516487400000,0.0012686,0.00127,0.00126,0.0012647,183527.62,1516489199999,232.65226569,1827,131426.8,166.63306543,0
1516489200000,0.0012638,0.0012748,0.0012625,0.0012738,194954.93,1516490999999,247.59568939,1757,112710.45,143.15966679,0
1516491000000,0.0012738,0.0012763,0.00126,0.0012666,155138.44,1516492799999,197.18032311,2001,102219.86,129.97132335,0
1516492800000,0.0012665,0.0012799,0.001262,0.0012777,66657.09,1516494599999,84.76597863,2103,42898.15,54.53011023,0
1516494600000,0.0012777,0.001278,0.001262,0.0012711,41026.9,1516496399999,52.05710295,1882,18411.85,23.3682699,0
1516496400000,0.00127,0.001277,0.001245,0.0012586,80264.15,1516498199999,101.45367626,2308,31569.88,40.02297951,0
1516498200000,0.0012585,0.0012656,0.0012508,0.0012646,35000.31,1516499999999,44.0692777,1382,19267.75,24.25448354,0
1516500000000,0.0012648,0.0012729,0.0012475,0.0012495,52774.98,1516501799999,66.50011311,1780,30867.77,38.92692838,0
1516501800000,0.0012495,0.0012599,0.0012248,0.0012281,107729.77,1516503599999,133.44034805,2732,32681.76,40.54492163,0
1516503600000,0.0012302,0.0012403,0.0012241,0.0012262,53276.01,1516505399999,65.5816566,2076,25939.69,31.92991669,0
1516505400000,0.0012241,0.0012378,0.0012179,0.0012223,67447.93,1516507199999,82.45169474,2041,36419.22,44.53389257,0
1516507200000,0.0012228,0.0012362,0.0012059,0.001221,65268.96,1516508999999,79.27713674,2178,24941.43,30.33390695,0
1516509000000,0.0012201,0.0012249,0.0012026,0.0012069,67872.08,1516510799999,82.31506586,2201,27147.58,32.92684737,0
1516510800000,0.0012065,0.0012156,0.00118,0.0012078,133037.29,1516512599999,159.43025495,3747,53544.93,64.2350995,0
